PATCH	REPLICA	TIME	STATUS	EGGS	LARVAE	JUVEN	AFEMA	AMALES	OVERALLPOP	TREAT
16NO1	1	1	1	7	0	0	0	0	8	16
16NO1	1	2	1	18	0	0	0	0	19	16
16NO1	1	3	1	23	0	0	0	0	24	16
16NO1	1	4	1	36	0	0	0	0	37	16
16NO1	1	5	1	43	6	0	0	0	50	16
16NO1	1	6	1	41	17	2	0	0	61	16
16NO1	1	7	1	36	4	26	0	0	67	16
16NO1	1	10	?	11	5	33	1	1	51	16
16NO1	2	1	1	0	0	0	0	0	1	16
16NO1	2	2	1	7	0	0	0	0	8	16
16NO1	2	3	1	15	0	0	0	0	16	16
16NO1	2	4	1	30	0	0	0	0	31	16
16NO1	2	5	1	44	0	0	0	0	45	16
16NO1	2	6	1	50	6	0	0	0	57	16
16NO1	2	7	1	48	4	11	0	0	64	16
16NO1	2	10	1	11	9	31	1	0	52	16
16NO1	3	1	1	8	0	0	0	0	9	16
16NO1	3	2	1	22	0	0	0	0	23	16
16NO1	3	3	1	34	0	0	0	0	35	16
16NO1	3	4	1	43	0	0	0	0	44	16
16NO1	3	5	1	58	5	0	0	0	64	16
16NO1	3	6	1	48	20	2	0	0	71	16
16NO1	3	7	1	45	4	30	0	0	80	16
16NO1	3	10	1	18	12	39	6	3	78	16
16NO1	4	1	1	9	0	0	0	0	10	16
16NO1	4	2	1	22	0	0	0	0	23	16
16NO1	4	3	1	26	0	0	0	0	27	16
16NO1	4	4	1	42	0	0	0	0	43	16
16NO1	4	5	1	45	13	0	0	0	59	16
16NO1	4	6	1	43	21	2	0	0	67	16
16NO1	4	7	1	42	2	31	0	0	76	16
16NO1	4	10	1	27	2	32	7	3	71	16
16NO2	1	1	1	10	0	0	0	0	11	16
16NO2	1	2	1	21	0	0	0	0	22	16
16NO2	1	3	1	32	0	0	0	0	33	16
16NO2	1	4	1	45	0	0	0	0	46	16
16NO2	1	5	1	55	6	0	0	0	62	16
16NO2	1	6	1	51	14	0	0	0	66	16
16NO2	1	7	1	52	19	9	0	0	81	16
16NO2	1	10	0	18	3	42	2	5	70	16
16NO2	2	1	1	8	0	0	0	0	9	16
16NO2	2	2	1	23	0	0	0	0	24	16
16NO2	2	3	0	28	0	0	0	0	28	16
16NO2	2	4	0	29	0	0	0	0	29	16
16NO2	2	5	0	22	4	0	0	0	26	16
16NO2	2	6	0	8	17	1	0	0	26	16
16NO2	2	7	0	2	9	15	0	0	26	16
16NO2	2	10	0	0	0	20	2	3	25	16
16NO2	3	1	1	11	0	0	0	0	12	16
16NO2	3	2	1	23	0	0	0	0	24	16
16NO2	3	3	1	34	0	0	0	0	35	16
16NO2	3	4	1	49	0	0	0	0	50	16
16NO2	3	5	1	47	7	0	0	0	55	16
16NO2	3	6	1	55	18	3	0	0	77	16
16NO2	3	7	1	53	19	15	0	0	88	16
16NO2	3	10	1	8	1	36	8	3	56	16
16NO2	4	1	1	11	0	0	0	0	12	16
16NO2	4	2	1	24	0	0	0	0	25	16
16NO2	4	3	1	34	0	0	0	0	35	16
16NO2	4	4	1	54	0	0	0	0	55	16
16NO2	4	5	1	47	10	0	0	0	58	16
16NO2	4	6	1	46	11	1	0	0	59	16
16NO2	4	7	1	36	19	13	0	0	69	16
16NO2	4	10	1	12	6	37	2	1	58	16
16NO3	1	1	1	7	0	0	0	0	8	16
16NO3	1	2	1	18	0	0	0	0	19	16
16NO3	1	3	1	32	0	0	0	0	33	16
16NO3	1	4	1	47	0	0	0	0	48	16
16NO3	1	5	1	49	7	0	0	0	57	16
16NO3	1	6	1	47	17	3	0	0	68	16
16NO3	1	7	1	43	17	15	0	0	76	16
16NO3	1	10	1	32	4	35	5	0	76	16
16NO3	2	1	1	9	0	0	0	0	10	16
16NO3	2	2	1	22	0	0	0	0	23	16
16NO3	2	3	1	37	0	0	0	0	38	16
16NO3	2	4	1	48	0	0	0	0	49	16
16NO3	2	5	1	50	10	0	0	0	61	16
16NO3	2	6	1	47	15	5	0	0	68	16
16NO3	2	7	1	39	17	17	0	0	74	16
16NO3	2	10	1	9	7	43	2	2	63	16
16NO3	3	1	1	9	0	0	0	0	10	16
16NO3	3	2	1	23	0	0	0	0	24	16
16NO3	3	3	1	34	0	0	0	0	35	16
16NO3	3	4	1	46	0	0	0	0	47	16
16NO3	3	5	1	51	9	0	0	0	61	16
16NO3	3	6	1	51	13	2	0	0	67	16
16NO3	3	7	1	45	17	15	0	0	78	16
16NO3	3	10	0	6	1	40	2	2	51	16
16NO3	4	1	1	9	0	0	0	0	10	16
16NO3	4	2	1	24	0	0	0	0	25	16
16NO3	4	3	1	31	0	0	0	0	32	16
16NO3	4	4	1	46	0	0	0	0	47	16
16NO3	4	5	0	44	9	0	0	0	53	16
16NO3	4	6	0	37	7	5	0	0	49	16
16NO3	4	7	0	23	10	14	0	0	47	16
16NO3	4	10	0	5	0	15	6	1	27	16
16NO4	1	1	1	10	0	0	0	0	11	16
16NO4	1	2	1	23	0	0	0	0	24	16
16NO4	1	3	1	38	0	0	0	0	39	16
16NO4	1	4	1	45	0	0	0	0	46	16
16NO4	1	5	1	52	13	0	0	0	66	16
16NO4	1	6	1	49	20	3	0	0	73	16
16NO4	1	7	1	45	9	26	0	0	81	16
16NO4	1	10	1	24	10	35	11	6	86	16
16NO4	2	1	1	10	0	0	0	0	11	16
16NO4	2	2	1	22	0	0	0	0	23	16
16NO4	2	3	1	33	0	0	0	0	34	16
16NO4	2	4	1	45	0	0	0	0	46	16
16NO4	2	5	1	44	8	0	0	0	53	16
16NO4	2	6	1	44	18	5	0	0	68	16
16NO4	2	7	1	47	6	30	0	0	84	16
16NO4	2	10	1	23	10	35	13	3	84	16
16NO4	3	1	1	11	0	0	0	0	12	16
16NO4	3	2	1	23	0	0	0	0	24	16
16NO4	3	3	1	39	0	0	0	0	40	16
16NO4	3	4	0	50	0	0	0	0	50	16
16NO4	3	5	0	31	15	0	0	0	46	16
16NO4	3	6	0	19	16	4	0	0	39	16
16NO4	3	7	0	6	8	28	0	0	42	16
16NO4	3	10	0	1	0	29	16	2	48	16
16NO4	4	1	1	7	0	0	0	0	8	16
16NO4	4	2	1	21	0	0	0	0	22	16
16NO4	4	3	1	29	0	0	0	0	30	16
16NO4	4	4	1	43	0	0	0	0	44	16
16NO4	4	5	0	44	5	0	0	0	49	16
16NO4	4	6	1	47	14	0	0	0	62	16
16NO4	4	7	1	36	2	23	0	0	62	16
16NO4	4	10	1	11	9	40	3	3	66	16
16NO5	1	1	1	6	0	0	0	0	7	16
16NO5	1	2	1	16	0	0	0	0	17	16
16NO5	1	3	1	35	0	0	0	0	36	16
16NO5	1	4	1	46	0	0	0	0	47	16
16NO5	1	5	1	54	4	0	0	0	59	16
16NO5	1	6	1	59	10	1	0	0	71	16
16NO5	1	7	1	56	5	21	0	0	83	16
16NO5	1	10	1	39	8	44	4	1	96	16
16NO5	2	1	1	3	0	0	0	0	4	16
16NO5	2	2	1	15	0	0	0	0	16	16
16NO5	2	3	1	30	0	0	0	0	31	16
16NO5	2	4	1	43	0	0	0	0	44	16
16NO5	2	5	1	55	4	0	0	0	60	16
16NO5	2	6	1	45	14	0	0	0	60	16
16NO5	2	7	1	41	9	17	0	0	68	16
16NO5	2	10	1	14	12	43	2	4	75	16
16NO5	3	1	1	5	0	0	0	0	6	16
16NO5	3	2	1	16	0	0	0	0	17	16
16NO5	3	3	1	24	0	0	0	0	25	16
16NO5	3	4	1	42	0	0	0	0	43	16
