,day,treatment,metarep,rep,rep_a,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,edge,mediaan,metapop
1,1,16,2,32,B,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,162
2,1,16,2,33,C,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,162
3,1,16,1,28,A,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,161
4,1,16,1,29,B,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,161
5,1,4,5,13,A,19,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,45
6,1,4,5,14,B,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,45
7,1,8,3,20,B,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,83
8,1,8,3,19,A,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,83
9,1,8,3,21,C,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,83
10,1,8,4,22,A,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,84
11,1,16,5,37,A,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,165
12,1,8,2,18,A,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,82
13,1,16,3,35,B,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,163
14,1,16,3,34,A,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,163
15,1,8,4,23,B,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,84
16,1,8,4,24,C,17,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,84
17,1,4,1,1,A,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,41
18,1,4,1,2,B,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,41
19,1,8,5,25,A,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,85
20,1,8,5,26,B,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,85
21,1,8,5,27,C,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,85
22,1,16,1,30,C,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,161
23,1,4,3,9,C,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,43
24,1,4,2,4,A,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,42
25,1,4,4,11,B,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,44
26,1,4,4,10,A,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,44
27,1,8,1,15,A,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,81
28,1,4,4,12,C,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,44
29,1,16,4,36,A,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,164
30,1,4,3,7,A,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,43
31,1,4,3,8,B,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,43
32,1,8,1,17,C,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,81
33,1,8,1,16,B,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,81
34,1,4,2,6,C,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,42
35,1,4,2,5,B,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,42
36,1,4,1,3,C,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,41
37,1,16,2,31,A,22,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,162
38,3,16,2,32,B,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,162
39,3,16,2,33,C,2,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,162
