REPLICA	Density	DAY	Start	start_dead	End	Bridge	Total	Left	Missing	TREAT
4NO1	40	1	18	2	17	0	37	20	3	4
4NO2	40	1	38	1	1	0	40	39	0	4
4NO3	40	1	19	1	6	4	30	24	10	4
4NO5	40	1	31	2	2	0	35	33	5	4
8NO1	40	1	35	0	3	1	39	36	1	8
8NO2	40	1	34	1	2	0	37	35	3	8
8NO3	40	1	33	3	0	0	36	36	4	8
8NO4	40	1	38	0	1	0	39	38	1	8
8NO5	40	1	19	2	14	0	35	21	5	8
16NO1	40	1	34	1	1	2	38	37	2	16
16NO2	45	1	32	3	10	0	45	35	0	16
16NO3	40	1	39	1	0	0	40	40	0	16
16NO4	40	1	35	0	4	1	40	36	0	16
4NO1	40	2	14	2	0	3	19	19	1	4
4NO2	40	2	15	4	2	0	21	19	18	4
4NO3	40	2	16	1	0	2	19	19	5	4
4NO5	40	2	6	1	18	3	28	10	5	4
8NO1	40	2	22	2	3	0	27	24	9	8
8NO2	40	2	17	2	9	3	31	22	4	8
8NO3	40	2	25	4	6	0	35	29	1	8
8NO4	40	2	32	1	3	2	38	35	0	8
8NO5	40	2	15	2	3	0	20	17	1	8
16NO1	40	2	19	1	10	4	34	24	3	16
16NO2	45	2	25	7	0	0	32	32	3	16
16NO3	40	2	25	4	6	0	35	29	5	16
16NO4	40	2	20	1	9	2	32	23	4	16
4NO1	40	3	15	2	0	0	17	17	2	4
4NO2	40	3	21	6	0	0	27	27	-8	4
4NO3	40	3	12	5	0	2	19	19	0	4
4NO5	40	3	5	1	1	0	7	6	3	4
8NO1	40	3	11	2	7	1	21	14	3	8
8NO2	40	3	13	2	6	0	21	15	1	8
8NO3	40	3	10	4	8	1	23	15	6	8
8NO4	40	3	13	5	13	2	33	20	2	8
8NO5	40	3	8	4	0	2	14	14	3	8
16NO1	40	3	14	1	5	2	22	17	2	16
16NO2	45	3	23	4	0	0	27	27	5	16
16NO3	40	3	15	6	0	0	21	21	8	16
16NO4	40	3	16	1	0	3	20	20	3	16
4NO1	40	4	5	8	1	3	17	16	0	4
4NO2	40	4	9	10	3	0	22	19	5	4
4NO3	40	4	16	3	1	2	22	21	-3	4
4NO5	40	4	1	1	2	0	4	2	2	4
8NO1	40	4	9	2	1	2	14	13	0	8
8NO2	40	4	8	3	1	0	12	11	3	8
8NO3	40	4	9	1	0	0	10	10	5	8
8NO4	40	4	13	5	0	0	18	18	2	8
8NO5	40	4	8	4	1	2	15	14	-1	8
16NO1	40	4	5	8	1	1	15	14	2	16
16NO2	45	4	11	7	1	1	20	19	7	16
16NO3	40	4	8	9	1	1	19	18	2	16
16NO4	40	4	11	2	1	2	16	15	4	16
